time,H_1,H_2,H_3,Hs_1,Hs_2,Hs_3,cry_1,cry_2,cry_3,disloc_density,disp_x,disp_y,disp_z,fp_yy,gd_0,gd_1,gd_10,gd_11,gd_2,gd_3,gd_4,gd_5,gd_6,gd_7,gd_8,gd_9,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,slip_resistance_0,slip_resistance_1,slip_resistance_10,slip_resistance_11,slip_resistance_2,slip_resistance_3,slip_resistance_4,slip_resistance_5,slip_resistance_6,slip_resistance_7,slip_resistance_8,slip_resistance_9,sliprate,strain_eff,strain_shear,strain_yy,stress_vm,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,surface_react_y,total_twin_volume,twin_slip_increment_0,twin_slip_increment_1,twin_slip_increment_10,twin_slip_increment_11,twin_slip_increment_2,twin_slip_increment_3,twin_slip_increment_4,twin_slip_increment_5,twin_slip_increment_6,twin_slip_increment_7,twin_slip_increment_8,twin_slip_increment_9,twin_twin_system_volume_fraction_0,twin_twin_system_volume_fraction_1,twin_twin_system_volume_fraction_10,twin_twin_system_volume_fraction_11,twin_twin_system_volume_fraction_2,twin_twin_system_volume_fraction_3,twin_twin_system_volume_fraction_4,twin_twin_system_volume_fraction_5,twin_twin_system_volume_fraction_6,twin_twin_system_volume_fraction_7,twin_twin_system_volume_fraction_8,twin_twin_system_volume_fraction_9
0.05,1733333333.3334,1733333333.3334,1733333333.3334,1155555555.5556,1155555555.5556,1155555555.5556,1,1,1,20000000,2.7478808778333e-07,1.4683332190496e-06,2.7196323230728e-07,1,397.28815285741,397.28815285741,397.09833306916,397.09833306916,397.28815285741,396.93154569799,396.93154569799,396.93154569799,397.09157489606,397.09157489606,397.09157489606,397.09833306916,1.9046669658612e-52,4.4198487773248e-206,1.3063157221676e-205,-1.9256506407967e-52,-1.8892646992262e-52,-1.9547391737872e-52,-2.4740322750375e-207,-1.9699348597906e-52,-1.9219830641788e-52,-1.2613205541433e-205,-1.9376402093185e-52,1.943133013731e-52,436.01068182545,436.01068182545,435.82086203719,435.82086203719,436.01068182545,435.65407466603,435.65407466603,435.65407466603,435.81410386409,435.81410386409,435.81410386409,435.82086203719,0,0.0005617060953087,0.0003405361938667,0.00049987487523467,69.54780046236,-0.0003369394098996,0.011499652524008,-0.0010305310008124,69.547002725038,-0.00035838166409987,-0.0012431705835344,0,1.8675773803713e-34,1.506021481473e-35,0,0,1.5214534974215e-35,1.5226628898434e-35,1.5150988287603e-35,0,1.5017941073992e-35,1.5166171412473e-35,0,1.5023731339873e-35,1.5057511511904e-35,2.2841072431532e-35,0,0,2.3075125454411e-35,2.3093468015662e-35,2.2978746105737e-35,0,2.2776957321559e-35,2.3001774170715e-35,0,2.2785738901297e-35,2.2836972961794e-35
0.1,1733333333.3334,1733333333.3334,1733333333.3334,1155555555.5556,1155555555.5556,1155555555.5556,1,1,1,20000000,5.493004155464e-07,2.9366346435267e-06,5.4407947572685e-07,1,397.28815285741,397.28815285741,397.09833306916,397.09833306916,397.28815285741,396.93154569799,396.93154569799,396.93154569799,397.09157489606,397.09157489606,397.09157489606,397.09833306916,2.1632730126089e-37,3.8494684031138e-206,1.1067218409284e-205,-2.1945021944119e-37,-2.1544990594101e-37,-2.2392354132244e-37,-2.1450995205124e-207,-2.247880677783e-37,-2.1975546866648e-37,-9.9610818539821e-206,-2.2064581367369e-37,2.2044480075187e-37,436.01068182545,436.01068182545,435.82086203719,435.82086203719,436.01068182545,435.65407466603,435.65407466603,435.65407466603,435.81410386409,435.81410386409,435.81410386409,435.82086203719,1.6310224054799e-51,0.0011232893200051,0.00068100643527683,0.00099950000049949,139.25014565927,-0.00029821162155168,0.011495960899445,-0.0010206040946545,139.24938234173,-0.00035860533115433,-0.0012207402218042,0,1.4547908992609e-27,1.2718681992855e-28,0,0,1.2783675162907e-28,1.2788724061618e-28,1.275690363487e-28,0,1.2700995545418e-28,1.2763248425737e-28,0,1.2703426067722e-28,1.2717546879999e-28,1.7986934853914e-28,0,0,1.8078849099867e-28,1.8085989322734e-28,1.8040988432194e-28,0,1.7961922433666e-28,1.8049961323792e-28,0,1.796535971215e-28,1.7985329561507e-28
0.15,1733333333.3334,1733333333.3334,1733333333.3334,1155555555.5556,1155555555.5556,1155555555.5556,1,1,1,20000000,8.2353720710163e-07,4.404905342441e-06,8.1633720984856e-07,1,397.28815285741,397.28815285741,397.09833306916,397.09833306916,397.28815285741,396.93154569799,396.93154569799,396.93154569799,397.09157489606,397.09157489606,397.09157489606,397.09833306916,1.3918567547332e-28,3.3524605885399e-256,1.2818366591335e-257,-1.4163142120223e-28,-1.3917486318923e-28,-1.4526098548793e-28,-1.2615075934432e-255,-1.4527031311797e-28,-1.4228258056018e-28,-9.0051658926734e-259,-1.4231665032516e-28,1.416675805156e-28,436.01068182545,436.01068182545,435.82086203719,435.82086203719,436.01068182545,435.65407466603,435.65407466603,435.65407466603,435.81410386409,435.81410386409,435.81410386409,435.82086203719,1.8315961811546e-36,0.0016847503645269,0.0010214128616711,0.0014988756252322,209.10734298556,-1.0990147267135e-05,0.00067205583213561,0.00015012442328929,209.10730394374,-0.00036402267538168,-6.7060862464922e-05,0,4.8219131202162e-24,4.2572945444862e-25,0,0,4.2584523100166e-25,4.2586253898613e-25,4.2579628053529e-25,0,4.2576570293154e-25,4.2584316911737e-25,0,4.2572384917117e-25,4.2580088926412e-25,6.0225223773148e-25,0,0,6.0241688964546e-25,6.0244143823405e-25,6.0234728462535e-25,0,6.0230325070344e-25,6.0241368482297e-25,0,6.0224409492067e-25,6.0235324576346e-25
0.2,1733333333.3334,1733333333.3334,1733333333.3334,1155555555.5556,1155555555.5556,1155555555.5556,1,1,1,20000000,1.0985180483517e-06,5.8732334415494e-06,1.088836478992e-06,1,397.28815285741,397.28815285741,397.09833306916,397.09833306916,397.28815285741,396.93154569799,396.93154569799,396.93154569799,397.09157489606,397.09157489606,397.09157489606,397.09833306916,2.4920794066466e-22,1.1729144678635e-211,1.2779271065875e-209,-2.5310785982321e-22,-2.4895355630809e-22,-2.5940696848077e-22,3.1490243430575e-213,-2.5970156887364e-22,-2.5408529770649e-22,-1.6748705406368e-214,-2.5454546473387e-22,2.5357508360649e-22,436.01068182545,436.01068182545,435.82086203719,435.82086203719,436.01068182545,435.65407466603,435.65407466603,435.65407466603,435.81410386409,435.81410386409,435.81410386409,435.82086203719,1.1739781591246e-27,0.0022460934773841,0.0013618039377801,0.0019980019984957,279.1202500402,-0.00073228877865038,0.0081224690977098,0.0015315815497167,279.11945222255,-0.002054149197166,-0.00086127402744218,0,1.5384783797053e-21,1.3480927165296e-22,0,0,1.3509737518751e-22,1.3510721303349e-22,1.3499551166196e-22,0,1.3482397803187e-22,1.3504494420034e-22,0,1.347546540771e-22,1.3491822294352e-22,1.9125135254298e-22,0,0,1.9165895712083e-22,1.9167289448463e-22,1.9151483073646e-22,0,1.9127220151647e-22,1.9158480530286e-22,0,1.9117410348364e-22,1.9140553394377e-22
0.25,1733333333.3334,1733333333.3334,1733333333.3334,1155555555.5556,1155555555.5556,1155555555.5556,1,1,1,20000000,1.3734800450241e-06,7.3415289331887e-06,1.3614477291591e-06,1,397.28815285741,397.28815285741,397.09833306916,397.09833306916,397.28815285741,396.93154569799,396.93154569799,396.93154569799,397.09157489606,397.09157489606,397.09157489606,397.09833306916,1.7671210153283e-17,1.3107308190833e-216,1.2148360532966e-212,-1.7959148022868e-17,-1.7660978990783e-17,-1.8412242278932e-17,1.6158768391664e-213,-1.8425896460751e-17,-1.8033437660002e-17,-3.9426339052108e-216,-1.8057113418944e-17,1.7981510643243e-17,436.01068182545,436.01068182545,435.82086203719,435.82086203719,436.01068182545,435.65407466603,435.65407466603,435.65407466603,435.81410386409,435.81410386409,435.81410386409,435.82086203719,2.0995174578673e-21,0.002807315164175,0.0017021342389249,0.0024968793689878,349.28850561003,-0.00090501736684724,0.0067921189744034,0.0015369571286252,349.28771653285,-0.0021452718711169,-0.00067186593357607,0,1.3501413149046e-19,1.1754824363875e-20,0,0,1.1771537611228e-20,1.1772336045692e-20,1.1766014935637e-20,0,1.175620356528e-20,1.1769695069138e-20,0,1.1751240638082e-20,1.1762670898823e-20,1.6815083391249e-20,0,0,1.6839127096904e-20,1.6840270191115e-20,1.6831172727798e-20,0,1.6817054725554e-20,1.6836447197073e-20,0,1.680993798857e-20,1.682633424879e-20
0.3,1733333333.3334,1733333333.3334,1733333333.3334,1155555555.5556,1155555555.5556,1155555555.5556,1,1,1,20000000,1.6486421653103e-06,8.8098269828628e-06,1.6342446829413e-06,1,397.28815285741,397.28815285741,397.09833306916,397.09833306916,397.28815285741,396.93154569799,396.93154569799,396.93154569799,397.09157489606,397.09157489606,397.09157489606,397.09833306916,1.6274001022806e-13,2.2907445530435e-218,3.5884837519208e-218,-1.6556269523005e-13,-1.6264697093274e-13,-1.6966957456309e-13,3.6548639641285e-221,-1.6976251383824e-13,-1.6627101802749e-13,-4.2089158182998e-222,-1.6638987615106e-13,1.6569306086537e-13,436.01068182545,436.01068182545,435.82086203719,435.82086203719,436.01068182545,435.65407466603,435.65407466603,435.65407466603,435.81410386409,435.81410386409,435.81410386409,435.82086203719,1.4890250360694e-16,0.003368415002154,0.0020424154079465,0.002995507985024,419.61223889906,0.00069344595046676,0.0055286839633872,-0.00077563037339061,419.61271698629,-0.00078701100738995,0.00026349572768024,0,5.2720605258588e-18,4.5306678401774e-19,0,0,4.5343421392877e-19,4.5350161773207e-19,4.5327051067584e-19,0,4.5299267614575e-19,4.5337147877572e-19,0,4.5299290714392e-19,4.5310012704621e-19,6.575482740099e-19,0,0,6.5809194207895e-19,6.5818840854595e-19,6.5785247634935e-19,0,6.5744544098655e-19,6.5800054127484e-19,0,6.5743865093031e-19,6.5760667903051e-19
0.35,1733333333.3326,1733333333.3326,1733333333.3326,1155555555.5548,1155555555.5548,1155555555.5548,1,1,1,20000000.000357,1.9241865345113e-06,1.0278141697958e-05,1.9072647353782e-06,1.0000000000611,397.28815285732,397.28815285732,397.09833306907,397.09833306907,397.28815285732,396.9315456979,396.9315456979,396.9315456979,397.09157489597,397.09157489597,397.09157489597,397.09833306907,3.6684864709626e-10,2.7246771449578e-208,1.0460188620982e-204,-3.7294875818359e-10,-3.6654649296703e-10,-3.8210272897796e-10,-3.0951975525611e-208,-3.8245639194447e-10,-3.7441883779006e-10,-3.9363375302391e-211,-3.7491526211437e-10,3.7343740624293e-10,436.01068182565,436.01068182565,435.82086203739,435.82086203739,436.01068182565,435.65407466623,435.65407466623,435.65407466623,435.81410386429,435.81410386429,435.81410386429,435.82086203739,1.3720480525635e-12,0.0039293995499447,0.0023826633733013,0.0034938880945516,490.09265771377,-0.00045321325254279,0.010776667396919,-2.0080319792913e-06,490.0921817668,-0.0021827356773671,-0.00049677972183361,0,1.1806461456372e-16,9.9345163134307e-18,0,0,9.9484827875813e-18,9.9502439980091e-18,9.9432029943778e-18,0,9.9328610116433e-18,9.9467213631457e-18,0,9.9311057136351e-18,9.9380296208771e-18,1.470707598008e-17,0,0,1.4727371225312e-17,1.4729958419452e-17,1.4719665004427e-17,0,1.4704632196819e-17,1.4724788794182e-17,0,1.4702143040514e-17,1.471210295214e-17
0.4,1733333331.5145,1733333331.5145,1733333331.5145,1155555553.7368,1155555553.7368,1155555553.7368,1,1,1,20000000.805455,2.1995224100876e-06,1.1746414414604e-05,2.1804507325677e-06,1.0000000491344,397.28815265154,397.28815265154,397.09833286086,397.09833286086,397.28815265154,396.93154548684,396.93154548684,396.93154548684,397.09157468757,397.09157468757,397.09157468757,397.09833286086,2.9433928249025e-07,2.2685067524816e-241,1.7579540045081e-245,-2.995489374756e-07,-2.9430026199331e-07,-3.0718871904554e-07,-3.7635477219229e-240,-3.0721872336922e-07,-3.0091651725667e-07,-3.9325984670851e-246,-3.0096822683723e-07,2.9960934905113e-07,436.01068227711,436.01068227711,435.82086248642,435.82086248642,436.01068227711,435.65407511241,435.65407511241,435.65407511241,435.81410431313,435.81410431313,435.81410431313,435.82086248642,3.0916530226259e-09,0.0044902668879023,0.0027228444448051,0.003992019945153,560.72202069537,0.00022813571854521,0.001714173812567,-3.8145152763681e-05,560.72213739273,-0.00038668122941968,5.3045891906345e-06,0,1.7513002054984e-15,1.4430036720089e-16,0,0,1.443316710365e-16,1.4433600844686e-16,1.4431747133454e-16,0,1.4430060682598e-16,1.443257484086e-16,0,1.4429706441585e-16,1.4430784945716e-16,2.18778612331e-16,0,0,2.188431778851e-16,2.188518991038e-16,2.1881539025312e-16,0,2.1877650742879e-16,2.1883221959327e-16,0,2.1876900854804e-16,2.1879422081136e-16
0.45,1733331871.5427,1733331871.5427,1733331871.5427,1155554093.7649,1155554093.7649,1155554093.7649,1,1,1,20000647.222361,2.4784496065515e-06,1.3214762919543e-05,2.4578792014291e-06,1.0000151841435,397.28798745992,397.28798745992,397.0981657021,397.0981657021,397.28798745992,396.93137592065,396.93137592065,396.93137592065,397.09140730986,397.09140730986,397.09140730986,397.0981657021,9.0803456314047e-05,6.7374565038953e-166,1.1974693691973e-164,-9.2416446554909e-05,-9.074846795026e-05,-9.4688606555111e-05,-4.1586368960666e-169,-9.4749126738037e-05,-9.2772640471565e-05,-5.2782845509481e-169,-9.2811905154933e-05,9.2459202916164e-05,436.01104488071,436.01104488071,435.82122312289,435.82122312289,436.01104488071,435.65443334143,435.65443334143,435.65443334143,435.81446473065,435.81446473065,435.81446473065,435.82122312289,2.4823065756897e-06,0.0050523218668762,0.003064262180766,0.0044899037838776,629.36042119927,-0.00051645648237006,0.0064893182103147,-2.1732757407331e-05,629.36011468622,0.00083473852652677,-4.2199285858969e-05,0,1.8003260594847e-14,1.4289792634253e-15,0,0,1.4297679003894e-15,1.4297032575775e-15,1.429571612834e-15,0,1.4285154337994e-15,1.4294386532957e-15,0,1.4285836489042e-15,1.4288441973256e-15,2.239660467017e-15,0,0,2.2408403336615e-15,2.2407576361389e-15,2.2405349535065e-15,0,2.2390024079672e-15,2.2403637496644e-15,0,2.2390913798128e-15,2.2394850631874e-15
0.5,1732881583.7064,1732881583.7064,1732881583.7064,1155103805.9286,1155103805.9286,1155103805.9286,1,1,1,20200283.385703,2.8078334400028e-06,1.468392901104e-05,2.7924251732287e-06,1.000258291199,397.23703398205,397.23703398205,397.04659132639,397.04659132639,397.23703398205,396.87908472205,396.87908472205,396.87908472205,397.03978961468,397.03978961468,397.03978961468,397.04659132639,0.0014579963061251,2.5684943688205e-119,2.2977541970626e-118,-0.0014852658251693,-0.0014568947785121,-0.0015200130916613,-2.8993579644786e-122,-0.0015204115572673,-0.0014899440601214,-1.3813351971213e-122,-0.0014897494022198,0.0014864442649414,436.1224792173,436.1224792173,435.93203656165,435.93203656165,436.1224792173,435.76452995731,435.76452995731,435.76452995731,435.92523484993,435.92523484993,435.92523484993,435.93203656165,0.00076661314924757,0.0056340825051693,0.0034244594396129,0.004987539816326,665.62850743659,0.00069325037720399,0.0034163944446346,7.7908248795475e-05,665.6276484019,0.0011663927418812,0.00033971319712648,0,6.8388033678932e-14,4.3454784230814e-15,0,0,4.3476114005734e-15,4.3479477210873e-15,4.3469471630916e-15,0,4.3452527112514e-15,4.3473644607362e-15,0,4.3450234465417e-15,4.346134563478e-15,8.3850949879384e-15,0,0,8.3892913402803e-15,8.3896842717897e-15,8.3880465864699e-15,0,8.3841177241574e-15,8.3884655306164e-15,0,8.3838824667412e-15,8.3858475067564e-15
