time,H_1,H_2,H_3,Hs_1,Hs_2,Hs_3,cry_1,cry_2,cry_3,disloc_density,disp_x,disp_y,disp_z,fp_yy,gd_0,gd_1,gd_10,gd_11,gd_2,gd_3,gd_4,gd_5,gd_6,gd_7,gd_8,gd_9,slip_increment_0,slip_increment_1,slip_increment_10,slip_increment_11,slip_increment_2,slip_increment_3,slip_increment_4,slip_increment_5,slip_increment_6,slip_increment_7,slip_increment_8,slip_increment_9,slip_resistance_0,slip_resistance_1,slip_resistance_10,slip_resistance_11,slip_resistance_2,slip_resistance_3,slip_resistance_4,slip_resistance_5,slip_resistance_6,slip_resistance_7,slip_resistance_8,slip_resistance_9,sliprate,strain_eff,strain_shear,strain_yy,stress_vm,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,surface_react_y,total_twin_volume,twin_slip_increment_0,twin_slip_increment_1,twin_slip_increment_10,twin_slip_increment_11,twin_slip_increment_2,twin_slip_increment_3,twin_slip_increment_4,twin_slip_increment_5,twin_slip_increment_6,twin_slip_increment_7,twin_slip_increment_8,twin_slip_increment_9,twin_twin_system_volume_fraction_0,twin_twin_system_volume_fraction_1,twin_twin_system_volume_fraction_10,twin_twin_system_volume_fraction_11,twin_twin_system_volume_fraction_2,twin_twin_system_volume_fraction_3,twin_twin_system_volume_fraction_4,twin_twin_system_volume_fraction_5,twin_twin_system_volume_fraction_6,twin_twin_system_volume_fraction_7,twin_twin_system_volume_fraction_8,twin_twin_system_volume_fraction_9
0.01,0,0,0,0,0,0,1,1,1,20000000,1.2761785044523e-07,2.9765394593744e-07,1.2941174282636e-07,1.0000002693796,0,0,0,0,0,0,0,0,0,0,0,0,5.6625324653869e-06,-1.692648669476e-11,-6.0712699622485e-11,-4.7666452163473e-05,-2.4040556014454e-05,-1.816344799187e-05,1.9945803058977e-10,-5.9668068715662e-05,-3.169473534267e-05,1.1014903253326e-10,-6.1076304410984e-05,8.3161922054046e-06,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,43.722528968036,0,0.00011701450338681,7.3672219241486e-05,9.9994044892941e-05,15.120373834795,-0.11847024442358,-0.15943787660712,-0.0043348353664699,13.810725015297,-0.038889501740251,-0.019159632271613,0,7.0852068783201e-46,3.3704146869264e-49,8.4070005864186e-89,7.7115467122967e-54,2.8658958738214e-51,1.8001504835112e-51,4.6287990853533e-49,1.1172018403901e-55,3.8327534515926e-49,1.7178425644694e-50,9.4592229156607e-121,3.0914682117106e-49,2.6798198934335e-52,7.0937917331847e-49,1.1889294248192e-88,1.0905776611707e-53,4.0530192679969e-51,2.5458410323336e-51,7.6535582403065e-49,1.5799619986643e-55,5.4269571972392e-49,2.5676816989291e-50,1.3377361336838e-120,4.402183402614e-49,3.9796808774588e-52
0.02,0,0,0,0,0,0,1,1,1,28997433.685593,2.6549047853102e-07,5.9075941650988e-07,2.6695782453057e-07,1.0000085693182,0,0,0,0,0,0,0,0,0,0,0,0,0.000233045593647,-9.2685289505385e-10,-2.3231371198835e-10,-0.00026259426848908,-0.00022917681209587,-0.00024753144674602,6.6742090995765e-09,-0.00028283801351343,-0.00026642842922863,3.7545774116513e-09,-0.00030609665784866,0.00023702320823038,43.731467034662,43.731467034662,43.731467034662,43.731467034662,43.731467034662,43.731467034662,43.731467034662,43.731467034662,43.731467034662,43.731467034662,43.731467034662,43.731467034662,0.037415177199191,0.00023111766111061,0.00014519591376131,0.00019997766872481,27.90508189605,-1.1473818226301,-0.11369282427687,0.018543339331979,25.81809245103,-0.063449953081551,-1.0384339911357,0,4.6892474508929e-35,3.3157379034684e-38,0,2.2029122701214e-53,1.0188227811316e-48,1.1030543834539e-49,1.9358721021077e-48,1.8176453568712e-54,9.466420659644e-48,6.0767595423466e-43,0,6.4042205258414e-48,2.6338400763019e-48,4.6891615124305e-38,1.1889294248192e-88,6.4582453654209e-53,1.4448903706543e-48,1.5854369998595e-49,4.9258163808227e-48,3.9632767223577e-54,1.3930262044821e-47,8.5938360348409e-43,1.3377361336838e-120,9.4971595021089e-48,3.7252167387311e-48
0.03,0,0,0,0,0,0,1,1,1,36518416.931636,4.2359504310344e-07,8.8303361165745e-07,4.2317774294832e-07,1.0000430872949,0,0,0,0,0,0,0,0,0,0,0,0,0.00094293932531042,-9.0781399185957e-08,4.8322472096828e-09,-0.0010863436696339,-0.0010414193736551,-0.001076953418637,4.181797360177e-07,-0.0010508083712105,-0.0011223268577256,2.1734511723367e-07,-0.0011440104748771,0.00099129652745779,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,43.797112256103,0.043405022097687,0.00034705319799979,0.0002178940278273,0.00029994908722146,36.737662055502,-0.83200448814365,-0.014125455953516,0.005293663656479,35.148517331975,-0.043621729574472,-0.73307275813369,0,5.5468545441491e-35,6.0448003297176e-39,0,5.4134583995184e-56,3.1837604232469e-46,2.8931925367103e-45,3.5836326717336e-45,3.1468882814853e-56,1.3506688447897e-44,1.9979145099993e-41,0,4.9039642519434e-45,2.5414859303744e-45,5.544025373243e-38,1.1889294248192e-88,6.6012044560627e-53,4.5169660738103e-46,4.0917509344224e-45,5.0729964073775e-45,4.4932023358867e-54,1.9115272586052e-44,2.9114161575024e-41,1.3377361336838e-120,6.9447499142138e-45,3.5979290880576e-45
0.04,0,0,0,0,0,0,1,1,1,53053645.313713,6.0760606980923e-07,1.1733988078457e-06,6.025050864169e-07,1.0001026906119,0,0,0,0,0,0,0,0,0,0,0,0,0.0016553867797896,-1.1871883299446e-06,-2.9875564491454e-06,-0.001896622886154,-0.0017836230682525,-0.0018358531993222,-1.0386416116086e-07,-0.0018276545874649,-0.00192320328322,-6.2142166633057e-07,-0.0019497887278907,0.0017567853257006,44.089819296342,44.089819296342,44.089819296342,44.089819296342,44.089819296342,44.089819296342,44.089819296342,44.089819296342,44.089819296342,44.089819296342,44.089819296342,44.089819296342,0.053534251519244,0.00046653471414371,0.00029357801924351,0.00039990665761604,42.184985618209,-0.58977040790444,0.022269839662862,-0.0042615693384314,40.960139064133,-0.036672049296751,-0.43823978648743,0,1.1933549646437e-32,8.4382107620023e-36,0,1.9823869573542e-55,2.5888968721805e-42,2.6479915564532e-42,7.2440693905199e-43,2.0594908541742e-55,4.9526792617672e-39,6.2732642006797e-42,0,1.9004303103863e-39,2.5481233229438e-41,1.1988872381461e-35,1.1889294248192e-88,6.642939509472e-53,3.6621061366506e-42,3.7492390808568e-42,1.0295428113215e-42,4.9086622460357e-54,7.0041691631044e-39,3.798590072101e-41,1.3377361336838e-120,2.6876235571403e-39,3.6041306702077e-41
0.05,0,0,0,0,0,0,1,1,1,60697384.692884,7.9351527310723e-07,1.4637824148817e-06,7.890155218406e-07,1.0001782819141,0,0,0,0,0,0,0,0,0,0,0,0,0.0021455628580636,-2.0148191445555e-08,1.3180381182827e-07,-0.0023955567825424,-0.0022604891400232,-0.002307542579063,-6.2778952917487e-07,-0.0023087392932161,-0.0024034801305267,-8.3877065878271e-07,-0.0024350853174861,0.0022633563075789,44.633915259903,44.633915259903,44.633915259903,44.633915259903,44.633915259903,44.633915259903,44.633915259903,44.633915259903,44.633915259903,44.633915259903,44.633915259903,44.633915259903,0.060606830555585,0.00058739142294123,0.00037030356769509,0.00049984930568388,45.306840379972,-0.19511965821458,0.036665573259861,-0.0031122094879182,44.638598308106,-0.041828969390332,-0.045834501324227,0,1.9743709882636e-32,5.7578822986766e-36,0,1.27438611086e-58,9.4212310285187e-41,5.249129329497e-40,1.3693472650925e-41,1.0378535815059e-58,4.5635757721623e-37,1.1916211951682e-40,0,8.0091803732953e-39,1.2877542022822e-39,2.0131747620245e-35,1.1889294248192e-88,6.6438125748247e-53,1.3689954315989e-40,7.4609003219003e-40,2.0407271143038e-41,4.9163043966372e-54,6.5239125165451e-37,2.0651962053283e-40,1.3377361336838e-120,1.4014317285274e-38,1.857203469254e-39
0.06,0,0,0,0,0,0,1,1,1,67229562.442634,9.809022352765e-07,1.7545895699703e-06,9.7674596207584e-07,1.0002636632491,0,0,0,0,0,0,0,0,0,0,0,0,0.0024335161011098,6.0288313205009e-10,1.0450737746028e-07,-0.0026786726717975,-0.0025881085321362,-0.0025933395509606,-8.3280757810025e-07,-0.0025861636223252,-0.002688629849646,-9.9653063258382e-07,-0.0027532063538345,0.0025506484137207,45.166260389804,45.166260389804,45.166260389804,45.166260389804,45.166260389804,45.166260389804,45.166260389804,45.166260389804,45.166260389804,45.166260389804,45.166260389804,45.166260389804,0.065387899294093,0.00070961779123668,0.00044836498805708,0.00059977773284208,47.151662215486,0.063713422040309,0.020997248838305,0.00098914367635493,46.854851456305,-0.046728952267443,0.205650254032,0,2.6035797111834e-32,1.0011399150556e-35,0,2.0966611205741e-67,9.5024187853239e-40,5.6100850242075e-40,4.8044874759766e-39,3.2667718199983e-67,9.0469710886603e-37,1.2754022210016e-38,0,4.732992991929e-38,9.4128491418028e-39,3.4290004077675e-35,1.1889294248192e-88,6.6438125767378e-53,1.4807456556894e-39,1.5394775150775e-39,6.8149989351695e-39,4.9163044203983e-54,1.9318261789472e-36,1.8243453458556e-38,1.3377361336838e-120,8.094894805357e-38,1.5168984807233e-38
0.07,0,0,0,0,0,0,1,1,1,67628868.096162,1.1689587406568e-06,2.0453089161925e-06,1.1636106052658e-06,1.000355206028,0,0,0,0,0,0,0,0,0,0,0,0,0.0026232510274381,3.0015471580566e-08,6.4560315413992e-08,-0.0028512283868586,-0.0027908169877575,-0.0027750280640562,-6.4552297642331e-07,-0.0027639962167902,-0.0028771390644979,-7.3190749444725e-07,-0.0029489276625859,0.0027347929954602,45.508823209662,45.508823209662,45.508823209662,45.508823209662,45.508823209662,45.508823209662,45.508823209662,45.508823209662,45.508823209662,45.508823209662,45.508823209662,45.508823209662,0.065216400057564,0.00083280894136502,0.00052735149637782,0.00069969253898343,48.216454224693,0.13509886345778,0.014968280505426,0.0036611590581729,48.077017934952,-0.047491766991041,0.26655281196465,0,2.8625757182075e-32,6.648210753864e-36,0,1.9842992393353e-84,5.3721227701782e-37,7.1051535279453e-40,4.4817650134624e-36,2.6266606256833e-84,7.0287373487889e-37,1.9530925844708e-38,0,1.4719463469689e-36,1.6320419133399e-38,4.3691993891528e-35,1.1889294248192e-88,6.6438125767378e-53,7.6121363472593e-37,2.5442990532973e-39,6.3449878880685e-36,4.9163044203983e-54,2.925839753225e-36,4.5864382472042e-38,1.3377361336838e-120,2.1625954377876e-36,3.8249544712336e-38
0.08,0,0,0,0,0,0,1,1,1,76796079.822175,1.3561070664473e-06,2.3381082414209e-06,1.4774077793217e-06,1.0004506361936,0,0,0,0,0,0,0,0,0,0,0,0,0.0026815977306234,1.4663899834806e-05,-3.771993756165e-07,-0.0030674116172069,-0.0028609949164636,-0.0029017938305001,-1.5853940651437e-06,-0.0029720446779187,-0.0029897495277822,1.0300848552623e-05,-0.0030348932063689,0.0028246841365779,45.843058900236,45.843058900236,45.843058900236,45.843058900236,45.843058900236,45.843058900236,45.843058900236,45.843058900236,45.843058900236,45.843058900236,45.843058900236,45.843058900236,0.064843271909144,0.00095685693007256,0.00060692013792253,0.00079959152164765,48.908314796982,0.10029739297289,-0.048087031620359,0.0047124433618538,48.684134681191,0.066431402590276,0.22856895232388,0,4.7705291247569e-25,2.2340575916347e-34,0,0,8.9301721732583e-29,2.5671776253349e-38,2.0579535987535e-36,0,3.7725123144591e-37,1.338600676857e-38,2.4626915050327e-81,1.5217226074088e-28,1.5267088679522e-37,3.5963560533396e-34,1.1889294248192e-88,6.6438125767378e-53,1.7303233673951e-28,3.8850310237154e-38,9.2553759619375e-36,4.9163044203983e-54,3.459353578657e-36,6.4795087746605e-38,3.4827717263583e-81,3.0403240182585e-28,2.5415878398903e-37
0.09,0,0,0,0,0,0,1,1,1,98843202.485498,1.5412584266435e-06,2.6288327898052e-06,1.561962448851e-06,1.0005460374779,0,0,0,0,0,0,0,0,0,0,0,0,0.0027423462729167,2.213875871273e-08,-1.2753225022684e-05,-0.0029838502036368,-0.00291109218281,-0.0028632799077335,-4.9999082513155e-07,-0.0028737000746587,-0.0029651986577296,2.6228194859896e-06,-0.0030917546526215,0.0028714608673889,46.197268489807,46.197268489807,46.197268489807,46.197268489807,46.197268489807,46.197268489807,46.197268489807,46.197268489807,46.197268489807,46.197268489807,46.197268489807,46.197268489807,0.18611490537006,0.0010801163951329,0.0006858356819932,0.00089948085362409,49.419063098279,0.21180202256601,-0.0048815525468552,-0.0055498099519354,49.399574397468,-0.011330154525477,0.33114345150613,0,4.7724246201798e-25,5.1707049932884e-36,0,2.0150076139353e-53,2.0266064936163e-35,5.4209159804019e-38,5.7487556591438e-36,0,1.5888337981945e-37,1.0391509419858e-37,0,1.4573972963424e-36,4.1060774679518e-37,3.6694809086376e-34,1.1889294248192e-88,9.4934638109832e-53,1.7305843625818e-28,1.1551363979386e-37,1.7385344220015e-35,4.9163044203983e-54,3.6840486185046e-36,2.1175325880265e-37,3.4827717263583e-81,3.0419593897139e-28,8.3484582858907e-37
0.1,0,0,0,0,0,0,1,1,1,99389005.496332,1.7223747134815e-06,2.9194538234581e-06,1.7250177954684e-06,1.0006421699905,0,0,0,0,0,0,0,0,0,0,0,0,0.0027779854406377,1.3368699975071e-07,-2.1606987103549e-06,-0.0030019556439351,-0.0029386481675613,-0.0028937131496735,-3.1686224618521e-07,-0.0028942351628237,-0.0029858758113193,4.7484971805352e-07,-0.0030958247169158,0.002896375509352,46.532531597293,46.532531597293,46.532531597293,46.532531597293,46.532531597293,46.532531597293,46.532531597293,46.532531597293,46.532531597293,46.532531597293,46.532531597293,46.532531597293,0.065854092585652,0.0012037797305025,0.00076506956111051,0.00099935690016437,49.918382928897,0.18873540073179,0.00075908685652783,-0.0079996600649433,49.917423683238,-0.01797657431455,0.30363271848529,0,4.7724246201893e-25,1.4365646546778e-32,0,1.2622567461163e-52,5.8948524599447e-36,5.6279496404207e-38,1.3618721345765e-35,0,2.2419762560392e-37,2.1419244014499e-37,0,4.1843218098478e-33,5.4675797997224e-37,2.0683040269795e-32,1.1889294248192e-88,2.734446990653e-52,1.7305844459476e-28,1.9510486689552e-37,3.6645124673334e-35,4.9163044203983e-54,4.0011119412901e-36,5.1466714805062e-37,3.4827717263583e-81,3.0420185649605e-28,1.6080783793344e-36
