time,H_1,H_2,H_3,Hs_1,Hs_2,Hs_3,cry_1,cry_2,cry_3,disloc_density,disloc_density_m,disp_x,disp_y,disp_z,fp_yy,mesh_quality,mesh_quality_m,sliprate,sliprate_m,strain_eff,strain_shear,strain_shear_m,strain_yy,stress_vm,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,total_twin_volume
0.025,2660995882.921,2668626513.8209,2670377603.2582,1775272212.9374,1779042647.1542,1779018473.2417,0.083977448292488,0.038724986678459,-0.065754767911084,20000000,20000000,1.6565431018571e-07,3.75e-07,1.7936886641136e-07,1,1.4079927238071e-12,6.4382017769649e-19,0,0,0.00027799995394118,0.00017700801237552,0.00031500760626996,0.00024996815629682,55.996837168683,0.0022516331602693,-0.021473554676677,-0.0022718889551222,54.463247830041,0.021163092600939,0.0092256037425015,1.1314548934688e-26
0.075,2660995882.921,2668626513.8209,2670377603.2582,1775272212.9374,1779042647.1542,1779018473.2417,0.083977448292488,0.038724986678459,-0.065754767911084,20000000,20000000,4.977058950795e-07,1.125e-06,5.3720747912044e-07,1.0000000000177,1.4079927238071e-12,6.4382017769649e-19,2.2159279147686e-19,3.3821153822942e-15,0.00083391451983447,0.0005310347907064,0.00094387615430469,0.00074971349559978,168.16612276303,-0.00057490179189761,-0.016814399796464,-0.0013214577485108,163.55235079432,0.018360278563173,0.00088700520163598,9.0292414941608e-16
0.125,2660995882.8198,2668626513.5871,2670377603.1052,1775272212.8363,1779042646.9205,1779018473.0887,0.083977448292488,0.038724986678459,-0.065754767911084,20000000.04999,20000797.579494,8.3001297653413e-07,1.875e-06,8.9612407884873e-07,1.0000003584499,1.4079927238071e-12,6.4382017769649e-19,7.6796052174125e-10,1.1464558173457e-05,0.0013897512724789,0.00088511052979314,0.0016454037331294,0.0012492046162236,280.46609279136,-0.0035233163209102,-0.025400391722135,-0.0029008940616149,272.78688590497,0.019856858769464,-0.0036452916264471,1.9996294960417e-12
0.175,2660993237.9263,2668620779.0708,2670373311.0698,1775269567.9427,1779036912.4041,1779014181.0533,0.083977448292488,0.038724986678459,-0.065754767911084,20001289.243543,76186156.208016,1.1893604151186e-06,2.625e-06,1.3993508016031e-06,1.000051561332,1.4079927238071e-12,6.4382017769649e-19,1.5545364210857e-05,0.011911570918104,0.0019569156243279,0.0012524781730541,0.0026459122277357,0.0017484409509972,380.87802620004,-0.0052887524596354,-0.035073782435961,-0.0041201377665401,370.45764043892,0.0035718517088034,-0.0059013055734545,9.9003725548443e-12
0.225,2660304911.2652,2667217827.5234,2669261044.5892,1774581241.2817,1777633960.8568,1777901914.5727,0.083977448292488,0.038724986678459,-0.065754767911084,20344682.707453,173441047.20139,1.8594260402256e-06,3.375e-06,2.3248573753649e-06,1.000322214648,1.4079927238071e-12,6.4382017769649e-19,0.0022336476280605,0.054518200276911,0.0025693906248536,0.0016720151298763,0.0042283872198456,0.0022474165089629,433.57079686942,-0.0081286801342462,0.0032849381806063,0.00080665595033036,420.33224310011,-0.017130538151008,-0.007614797874588,2.1115562631031e-11
0.275,2653331685.5678,2653160157.871,2660343429.0835,1767608015.5842,1763576291.2044,1768984299.067,0.083977448292488,0.038724986678459,-0.065754767911084,23830550.595632,220531214.16384,2.6097581438151e-06,4.125e-06,3.4018099035704e-06,1.0007353614195,1.4079927238071e-12,6.4382017769649e-19,0.01193852576239,0.080698046582383,0.0032152011602268,0.0021252117135355,0.0058475495636849,0.0027461304158375,457.54589207339,-0.012273459141717,0.014486363657297,0.0019654956911429,440.53965324713,-0.0061468037256876,-0.013451484951095,4.3544891815434e-11
0.325,2640852967.4654,2633291539.6476,2648161154.1032,1755129297.4818,1743707672.981,1756802024.0867,0.083977448292488,0.038724986678459,-0.065754767911084,29247921.562093,227982102.68175,3.3398447981171e-06,4.875e-06,4.5074538175857e-06,1.0011942801649,1.4079927238071e-12,6.4382017769649e-19,0.018480301993306,0.092076963702559,0.003875865335996,0.0025896627756433,0.0073828233861363,0.0032445858428655,472.59102533717,-0.015970728595689,0.026022709187242,0.0038935653732093,451.31087258942,0.0048325008492231,-0.020347517932809,6.3291435483861e-11
0.375,2627900059.0191,2614680962.8737,2633898297.9691,1742176389.0355,1725097096.2071,1742539167.9527,0.083977448292488,0.038724986678459,-0.065754767911084,34966162.704241,250002795.90199,4.044136647047e-06,5.625e-06,5.6093247171446e-06,1.001668435709,1.4079927238071e-12,6.4382017769649e-19,0.020837254064317,0.087867728686078,0.0045437023617052,0.0030580003156054,0.0088146586133911,0.0037427848846173,484.28599667352,-0.021282247871459,0.020545930418321,0.0026321397015959,458.71204064938,0.0065709099483462,-0.025727072995993,9.8362623292728e-11
0.425,2614773229.9433,2597030314.3901,2617728181.3572,1729049559.9598,1707446447.7234,1726369051.3407,0.083977448292488,0.038724986678459,-0.065754767911084,40936450.811443,266793579.04453,4.7328920186738e-06,6.375e-06,6.7079256688608e-06,1.0021490589606,1.4079927238071e-12,6.4382017769649e-19,0.021851057440536,0.087455282912914,0.0052154904413134,0.0035279052669017,0.01016129723466,0.0042407280214522,494.13657300033,-0.026688074805652,0.021299504970709,0.0027086708962357,464.48323996405,0.012551518072388,-0.032133988166248,1.4642157298112e-10
0.45,2612122819.9858,2592598158.4285,2614364711.9652,1726399150.0023,1703014291.7618,1723005581.9487,0.083977448292488,0.038724986678459,-0.065754767911084,42219647.23214,267589495.26245,5.0745570085094e-06,6.75e-06,7.25647230077e-06,1.0023908061016,1.4079927238071e-12,6.4382017769649e-19,0.022445302653013,0.089410349210594,0.005552381811574,0.0037632057231906,0.010812757457419,0.0044896038608431,498.59460759958,-0.030969729391792,0.011051557392309,0.0006374449702811,466.96462888919,0.0081227107576581,-0.039451809293545,1.7016376019811e-10
0.475,2609392112.358,2588097178.2244,2610916179.5145,1723668442.3745,1698513311.5578,1719557049.498,0.083977448292488,0.038724986678459,-0.065754767911084,43544027.66819,268466258.4351,5.4157999999511e-06,7.125e-06,7.8031975368812e-06,1.0026341294079,1.4079927238071e-12,6.4382017769649e-19,0.022752972942387,0.090087391216891,0.0058897716538077,0.0039986442750573,0.011444936096096,0.0047384157602852,502.51566304052,-0.035816235448221,0.0066698678772397,0.0016525087219856,469.03424670857,0.013808037668936,-0.040067526161608,1.9326963289861e-10
0.5,2606589625.9992,2583533913.5442,2607392903.6589,1720865956.0157,1693950046.8776,1716033773.6425,0.083977448292488,0.038724986678459,-0.065754767911084,44905859.809262,269362513.45502,5.7569219066221e-06,7.5e-06,8.3477488678229e-06,1.0028782756528,1.4079927238071e-12,6.4382017769649e-19,0.023060432568615,0.09054001556053,0.0062274022073669,0.0042340284765891,0.012060274295989,0.0049871637025921,506.07353204621,-0.036317497303122,0.006217287364581,0.00037121349641522,470.85822540272,0.010931820518509,-0.042937980196305,2.1560898763336e-10
0.525,2603729302.9368,2578923528.9097,2603809539.2208,1718005632.9532,1689339662.243,1712450409.2044,0.083977448292488,0.038724986678459,-0.065754767911084,46299706.520976,270251611.38109,6.0974448794005e-06,7.875e-06,8.890573839105e-06,1.0031229465129,1.4079927238071e-12,6.4382017769649e-19,0.023280052264432,0.090739400019603,0.0065651638360793,0.0044693025166492,0.012660569574098,0.0052358478692475,509.35348526705,-0.043795542642691,0.0014984459831079,0.0011221719273648,472.50527158773,0.0023811581298226,-0.048160956103753,2.3716572656699e-10
0.575,2588901277.6056,2559073361.352,2585968650.5589,1703177607.6221,1669489494.6853,1694609520.5425,0.083977448292488,0.038724986678459,-0.065754767911084,53191818.830751,264317898.04801,6.7746556590256e-06,8.625e-06,9.9745219727388e-06,1.0036112110325,1.4079927238071e-12,6.4382017769649e-19,0.023455894584308,0.091284805774426,0.0072404369837795,0.0049390882901308,0.013833234814119,0.005733024017197,515.73818002004,-0.047291965901357,0.0072900355179963,0.0004065570361175,475.8935324881,0.014319082876137,-0.053524374000221,2.7777971842952e-10
0.625,2580930645.5965,2546602108.9148,2575925635.303,1695206975.6129,1657018242.2481,1684566505.2865,0.083977448292488,0.038724986678459,-0.065754767911084,57147500.586487,263843449.88807,7.4477761249218e-06,9.375e-06,1.1057921128791e-05,1.0041015074586,1.4079927238071e-12,6.4382017769649e-19,0.023546623937879,0.091164239031713,0.0079160772396618,0.0054086516003695,0.015132537388988,0.0062299446216075,521.23559465926,-0.05435857785346,0.01150435027895,0.0021814585251238,478.661006008,0.023033969583542,-0.061891655949993,3.2293067945366e-10
0.65,2577982933.3833,2541950677.5988,2572271378.153,1692259263.3997,1652366810.9321,1680912248.1365,0.083977448292488,0.038724986678459,-0.065754767911084,58636772.244088,263608243.98662,7.7830330318001e-06,9.75e-06,1.1600257817594e-05,1.0043466491568,1.4079927238071e-12,6.4382017769649e-19,0.023815871815379,0.091102683426962,0.0082539079763107,0.0056432893590018,0.015877499940542,0.0064783093578046,523.88145355884,-0.059391940227221,0.0053495958131684,0.00075329026206379,479.99679539007,0.021868684225977,-0.067931219443445,3.5282161724468e-10
0.675,2575008219.6742,2537286532.0727,2568594495.6448,1689284549.6907,1647702665.4061,1677235365.6284,0.083977448292488,0.038724986678459,-0.065754767911084,60141888.926962,263375079.60109,8.1178049366605e-06,1.0125e-05,1.2141487394922e-05,1.0045924887261,1.4079927238071e-12,6.4382017769649e-19,0.023899825106621,0.091800366748203,0.0085917197222896,0.00587780367909,0.016607202862392,0.0067266100177926,526.26778658787,-0.06384043358111,0.0086838451415025,0.0031426725519237,481.1507312618,0.036727676713954,-0.06747510544282,3.8859513953762e-10
0.725,2567451585.9019,2525535830.0351,2559289259.1847,1681727915.9183,1635951963.3685,1667930129.1682,0.083977448292488,0.038724986678459,-0.065754767911084,63909696.971492,262917624.1681,8.7856999961536e-06,1.0875e-05,1.3224221491589e-05,1.0050852617985,1.4079927238071e-12,6.4382017769649e-19,0.024049570523983,0.092313469417208,0.0092668040463444,0.0063460987578721,0.018030559267079,0.0072230198154626,530.45647997625,-0.068623048481118,0.0049463419837228,0.0013069706361334,483.11667544993,0.029360915097495,-0.076629294598395,4.5976571174775e-10
0.775,2560792790.0267,2515235553.9528,2551104462.0911,1675069120.0431,1625651687.2862,1659745332.0746,0.083977448292488,0.038724986678459,-0.065754767911084,67230132.792337,262478605.72501,9.4526442661769e-06,1.1625e-05,1.4306105572183e-05,1.0055782593962,1.4079927238071e-12,6.4382017769649e-19,0.024224693624881,0.092920779413003,0.0099413507109627,0.0068136635755252,0.01942505132541,0.0077191742559921,534.31905682439,-0.076184792952416,0.015002637344649,0.0024595008087601,484.93204120692,0.016030988916697,-0.08528207759248,5.3038326116963e-10
0.825,2554284286.189,2505275171.7793,2543171669.8671,1668560616.2054,1615691305.1127,1651812539.8506,0.083977448292488,0.038724986678459,-0.065754767911084,70469604.579739,262057926.26451,1.0114037961455e-05,1.2375e-05,1.5392589506783e-05,1.0060716305553,1.4079927238071e-12,6.4382017769649e-19,0.024339104245126,0.093046596138386,0.010615347589189,0.0072805474090302,0.020788153415254,0.0082150735544367,537.86146099404,-0.083982434596858,0.0049532454695609,0.001627620121167,486.58404375986,0.022974112547365,-0.093392404068296,6.0011904852023e-10
0.875,2547844207.8672,2495477111.7552,2535348662.8176,1662120537.8837,1605893245.0885,1643989532.8012,0.083977448292488,0.038724986678459,-0.065754767911084,73681236.081576,261657535.8669,1.0773090438283e-05,1.3125e-05,1.6480881081631e-05,1.006565316675,1.4079927238071e-12,6.4382017769649e-19,0.024447276166273,0.093466211910109,0.011288786862678,0.0077467862226086,0.022125248010193,0.0087107177500011,541.12835412269,-0.092091563109934,0.0050587019808023,0.0017171895915822,488.09595383392,0.031067133727175,-0.10104280718103,6.6881868923004e-10
0.925,2541434247.9997,2485779307.5431,2527576075.5734,1655710578.0161,1596195440.8764,1636216945.5569,0.083977448292488,0.038724986678459,-0.065754767911084,76883149.079852,261278081.90106,1.1430405805031e-05,1.3875e-05,1.7571104746737e-05,1.0070592589112,1.4079927238071e-12,6.4382017769649e-19,0.024541001446132,0.092683250153534,0.011961646414191,0.0082123995930413,0.023434910990711,0.0092061071395401,544.15809603026,-0.10024270063274,0.0067238128809383,0.0023326231475974,489.48918758428,0.026563712970204,-0.10844480507219,7.3628303642101e-10
0.975,2535039747.1343,2476166988.2995,2519859201.1891,1649316077.1508,1586583121.6328,1628500071.1726,0.083977448292488,0.038724986678459,-0.065754767911084,80075715.724234,260919496.83562,1.2084275896186e-05,1.4625e-05,1.8668292501295e-05,1.0075534314371,1.4079927238071e-12,6.4382017769649e-19,0.024621737489543,0.092383338377259,0.012633930458604,0.0086774200168865,0.024719854148207,0.0097012419590469,546.97774372334,-0.10732168809422,-0.0059436455919194,-0.00058567372924447,490.77637710242,0.026912185838693,-0.11667906641133,8.02570936742e-10
1.025,2528648903.5324,2466608835.5543,2512171135.8454,1642925233.5489,1577024968.8877,1620812005.8289,0.083977448292488,0.038724986678459,-0.065754767911084,83265299.473162,260581732.74385,1.2737604086535e-05,1.5375e-05,1.9767595116028e-05,1.0080477727539,1.4079927238071e-12,6.4382017769649e-19,0.024692437900927,0.09201056704438,0.013305638287118,0.0091418657007626,0.025984922587668,0.010196121845963,549.61836325526,-0.11502079989193,0.0085096325865613,0.0019213970871149,491.97496899697,0.020143747756453,-0.12449836448434,8.6707066557768e-10
1.075,2522263306.4527,2457106741.9761,2504507945.0442,1636539636.4692,1567522875.3094,1613148815.0278,0.083977448292488,0.038724986678459,-0.065754767911084,86448919.87052,260264145.24289,1.338879180304e-05,1.6125e-05,2.0871505141846e-05,1.0085422890215,1.4079927238071e-12,6.4382017769649e-19,0.02475369942719,0.091431987109271,0.01397678133881,0.0096057745187616,0.027229069095263,0.010690748032431,552.09568361541,-0.12273452805019,0.002544926140631,0.00092920127962256,493.09009423896,0.015364572517241,-0.13575937237009,9.3009237095752e-10
1.125,2515893232.5452,2447667573.5546,2496883844.5338,1630169562.5617,1558083706.8879,1605524714.5173,0.083977448292488,0.038724986678459,-0.065754767911084,89620353.382277,259966606.49756,1.4037632892765e-05,1.6875e-05,2.1979294839784e-05,1.0090369583997,1.4079927238071e-12,6.4382017769649e-19,0.024808992088722,0.0915311053147,0.01464737458693,0.010069171377978,0.028453705053406,0.011185120083715,554.42612348531,-0.13217989807149,0.0035403169719394,0.002039081315099,494.13061039628,0.024916175883904,-0.14304362039338,9.9132879543861e-10
1.175,2509538727.6969,2438288057.4211,2489293997.3766,1623815057.7134,1548704190.7544,1597934867.3602,0.083977448292488,0.038724986678459,-0.065754767911084,92777743.377994,259688514.9318,1.4685716979181e-05,1.7625e-05,2.309085485952e-05,1.0095317588458,1.4079927238071e-12,6.4382017769649e-19,0.024858319208049,0.091034230207272,0.015317410524987,0.010532062254732,0.029662615654619,0.011679238317108,556.6221139921,-0.13989448265139,0.0040249294684875,0.0017127196458981,495.10363647767,0.024709847769206,-0.15073144873371,1.0504098169827e-09
1.225,2503198639.0571,2428967712.3934,2481738201.3724,1617474969.0736,1539383845.7268,1590379071.356,0.083977448292488,0.038724986678459,-0.065754767911084,95918681.502268,259428623.31626,1.533367286743e-05,1.8375e-05,2.4207237242972e-05,1.0100266918012,1.4079927238071e-12,6.4382017769649e-19,0.02490263050667,0.090724491556908,0.015986908250263,0.010994472633,0.030856495342671,0.012173103163182,558.69316546283,-0.1501439949426,7.7686966085385e-06,0.0013265503908164,496.00908872919,0.017781998359144,-0.16149000770897,1.1079186677042e-09
1.275,2496878346.3574,2419711398.5404,2474224768.187,1611154676.3738,1530127531.8737,1582865638.1706,0.083977448292488,0.038724986678459,-0.065754767911084,99038726.194775,259185942.68396,1.5980600224017e-05,1.9125e-05,2.5325475315625e-05,1.0105217279565,1.4079927238071e-12,6.4382017769649e-19,0.024943354492586,0.090686056991228,0.016655873889205,0.011456417565455,0.032039969468393,0.012666714709762,560.65359096535,-0.15615013476309,0.0023251905496041,-0.0004270651152551,496.85877235906,0.021908331582149,-0.17333822697483,1.1630090198141e-09
1.325,2490580435.9251,2410519545.9416,2466752257.4327,1604856765.9415,1520935679.2749,1575393127.4162,0.083977448292488,0.038724986678459,-0.065754767911084,102135370.50299,258959185.9596,1.662695409345e-05,1.9875e-05,2.6448005223907e-05,1.0110168866212,1.4079927238071e-12,6.4382017769649e-19,0.024979827552336,0.090321363077775,0.017324301639062,0.011917904795213,0.03320638171575,0.013160073460321,562.50433432302,-0.16722024954328,-0.0072700188080029,-0.00020394780117536,497.64990781336,0.018983653526217,-0.18084925248788,1.2162883558311e-09
1.375,2484306878.5675,2401395363.9979,2459325108.7697,1598583208.5839,1511811497.3312,1567965978.7532,0.083977448292488,0.038724986678459,-0.065754767911084,105205300.93676,258748270.32749,1.7272755774913e-05,2.0625e-05,2.7577186661504e-05,1.0115121414784,1.4079927238071e-12,6.4382017769649e-19,0.025014247980113,0.090213792484736,0.017992207413777,0.012378942537084,0.034362846454711,0.01365317837891,564.25459199854,-0.1752567977656,-0.0010533643558091,0.00085813198684704,498.38774769836,0.019711304426088,-0.1888939897298,1.2674413366885e-09
1.425,2478060365.4888,2392342417.995,2451945275.4335,1592336695.5053,1502758551.3284,1560586145.417,0.083977448292488,0.038724986678459,-0.065754767911084,108245426.97439,258551627.8952,1.7918991889907e-05,2.1375e-05,2.8708387255499e-05,1.0120074900688,1.4079927238071e-12,6.4382017769649e-19,0.025045093993161,0.089871801791961,0.01865959777382,0.012839553335418,0.035508914463702,0.014146031206414,565.91353009734,-0.18402631869721,-0.0011400629976655,-2.5489729703803e-05,499.07570865892,0.011523010641676,-0.19928344318608,1.316572515178e-09
1.475,2471842658.7684,2383361090.5265,2444614481.9077,1586118988.7849,1493777223.8598,1553255351.8912,0.083977448292488,0.038724986678459,-0.065754767911084,111253633.60112,258368420.44747,1.8565326457922e-05,2.2125e-05,2.984169471083e-05,1.0125029228911,1.4079927238071e-12,6.4382017769649e-19,0.02507396168392,0.089716999918383,0.019326471260934,0.013299733954858,0.036644077069888,0.014638630928628,567.48531468664,-0.19311805284287,0.0097287505003342,0.0026454481261732,499.71719917967,0.013655796502105,-0.20702317773305,1.363651637692e-09
1.525,2465655828.15,2374453051.5259,2437333555.6022,1579932158.1665,1484869184.8593,1545974425.5857,0.083977448292488,0.038724986678459,-0.065754767911084,114227763.87982,258198027.50502,1.9210709711572e-05,2.2875e-05,3.0978139098849e-05,1.0129984361762,1.4079927238071e-12,6.4382017769649e-19,0.025100483646934,0.089380294055813,0.019992838685191,0.013759501733648,0.037768786111958,0.01513097862369,568.9763445457,-0.20252141558414,0.0083389491185685,0.0023035434470343,500.31508956173,0.023390763241318,-0.21465134287757,1.408840629472e-09
1.575,2459503198.2848,2365622394.7563,2430104540.1941,1573779528.3012,1476038528.0896,1538745410.1777,0.083977448292488,0.038724986678459,-0.065754767911084,117165275.77204,258039607.03878,1.9856073039406e-05,2.3625e-05,3.2119112996986e-05,1.0134940444321,1.4079927238071e-12,6.4382017769649e-19,0.025125122776416,0.089164758175195,0.020658721434139,0.014218874492994,0.038884052415141,0.015623074063986,570.38532787173,-0.21327052983354,0.0093494835137861,0.0023866254801188,500.86272745333,0.017013579749896,-0.22619897396761,1.4520732596914e-09
1.625,2453385538.8978,2356869187.6635,2422929678.8757,1567661868.9142,1467285320.9969,1531570548.8593,0.083977448292488,0.038724986678459,-0.065754767911084,120064279.85956,257892302.98574,2.0500035423403e-05,2.4375e-05,3.3265721206668e-05,1.0139897287697,1.4079927238071e-12,6.4382017769649e-19,0.025148739012051,0.088925605541548,0.021324110319756,0.0146778547442,0.039987971430539,0.016114918389736,571.71960480663,-0.2230833758389,-0.0032359857536957,0.00068963093997513,501.37013729912,0.01896272805998,-0.23624154964601,1.4935881486683e-09
1.675,2447303784.1062,2348192369.2464,2415809303.2768,1561580114.1227,1458608502.5797,1524450173.2604,0.083977448292488,0.038724986678459,-0.065754767911084,122923737.58276,257755557.40143,2.1144108191639e-05,2.5125e-05,3.441460018247e-05,1.0144854684919,1.4079927238071e-12,6.4382017769649e-19,0.025170027719812,0.08883646857252,0.02198902051885,0.015136449432322,0.041083280284923,0.016606510695629,572.9858676117,-0.23344096668069,-0.00086822638154227,0.00010955684467193,501.83849557346,0.023033656823497,-0.24785564618825,1.5332907349733e-09
1.725,2441259227.3241,2339594468.7648,2408744427.3261,1555535557.3406,1450010602.0982,1517385297.3096,0.083977448292488,0.038724986678459,-0.065754767911084,125742084.30737,257628545.89165,2.1788687902805e-05,2.5875e-05,3.5565286367028e-05,1.0149812503185,1.4079927238071e-12,6.4382017769649e-19,0.025189360952334,0.08857599632024,0.022653415494001,0.015594629933075,0.042170528339131,0.017097850633502,574.18826083088,-0.23856502596375,0.0028906806174975,0.0013641053980493,502.27724938319,0.028495318290355,-0.2524846517127,1.5711682367555e-09
1.775,2435254553.1948,2331079007.2789,2401736341.5006,1549530883.2113,1441495140.6123,1510377211.4841,0.083977448292488,0.038724986678459,-0.065754767911084,128517432.58924,257510621.05356,2.2430883173719e-05,2.6625e-05,3.6723965208679e-05,1.0154771165196,1.4079927238071e-12,6.4382017769649e-19,0.025206718400749,0.088361580175965,0.023317355122143,0.016052454778697,0.043248947728091,0.017588940281852,575.32264240917,-0.24848574053405,-0.012210427273669,0.00053168918213055,502.6708610213,0.02905776799422,-0.26410568403524,1.6076002796701e-09
